1744296022921404416, 1, 2/24, O
1744296022921696768, 0, 2/23, O
1744296022922007040, 1, 2/22, O
1744296022922301696, 1, 2/24, O
1744296022922593792, 1, 2/24, O
1744296022922885632, 1, 2/24, O
1744296022923177472, 0, 2/24, O
1744296022923469568, 0, 2/20, O
1744296022923764480, 1, 2/24, O
1744296022924057088, 1, 2/24, O
1744296022924374272, 1, 2/24, O
1744296022924666624, 1, 2/24, O
1744296022924958208, 0, 2/24, O
1744296022925250560, 1, 2/20, O
1744296022925545216, 1, 2/24, O
1744296022925837312, 1, 2/17, O
1744296022926155776, 0, 2/24, O
1744296022926448896, 0, 2/24, O
1744296022926740992, 1, 2/24, O
1744296022927033600, 1, 2/20, O
1744296022927329280, 0, 2/24, O
1744296022927622400, 0, 2/24, O
1744296022927913984, 0, 2/24, O
1744296022928205824, 0, 2/24, O
1744296022928497920, 1, 2/24, O
1744296022928789504, 1, 2/21, O
1744296022929085184, 0, 2/24, O
1744296022929380352, 0, 1/24, O
1744296022929672192, 0, 2/23, O
1744296022930000640, 0, 2/24, O
1744296022930295040, 0, 2/24, O
1744296022930587904, 0, 2/20, O
1744296022930883072, 0, 2/24, O
1744296022931175680, 1, 2/24, O
1744296022931467264, 1, 2/24, O
1744296022931759104, 0, 2/24, O
1744296022932051456, 0, 2/24, O
1744296022932343552, 1, 2/20, O
1744296022932638720, 0, 2/24, O
1744296022932931072, 0, 2/24, O
1744296022933223936, 1, 2/24, O
1744296022933515776, 1, 2/24, O
1744296022933808128, 1, 2/23, O
1744296022934155264, 1, 2/18, O
1744296022934451200, 1, 2/24, O
1744296022934743552, 0, 2/24, O
1744296022935035648, 0, 2/24, O
1744296022935328000, 1, 2/24, O
1744296022935620096, 0, 2/24, O
1744296022935911936, 1, 2/21, O
1744296022936206848, 0, 2/24, O
1744296022936499200, 0, 2/24, O
1744296022936791296, 1, 2/24, O
1744296022937086208, 1, 2/24, O
1744296022937378048, 0, 2/20, O
1744296022937672192, 0, 2/24, O
1744296022937982720, 0, 2/24, O
1744296022938275072, 0, 2/24, O
1744296022938566912, 0, 2/24, O
1744296022938859008, 1, 2/24, O
1744296022939150848, 0, 2/21, O
1744296022939448064, 0, 2/24, O
1744296022939740928, 1, 2/24, O
1744296022940032768, 1, 2/24, O
1744296022940324864, 0, 2/24, O
1744296022940616960, 0, 2/24, O
1744296022940908800, 1, 1/19, O
1744296022941203712, 0, 2/24, O
1744296022941495808, 1, 2/24, O
1744296022941787136, 1, 2/24, O
1744296022942144512, 0, 2/22, O
1744296022942438144, 0, 2/24, O
1744296022942729984, 1, 2/20, O
1744296022943025408, 1, 2/24, O
1744296022943317504, 1, 2/24, O
1744296022943609088, 0, 2/24, O
1744296022943901440, 0, 2/24, O
1744296022944193536, 1, 2/24, O
1744296022944487424, 1, 2/20, O
1744296022944782592, 0, 2/24, O
1744296022945074688, 0, 1/24, O
1744296022945366784, 1, 2/24, O
1744296022945658112, 1, 2/24, O
1744296022945949696, 1, 2/22, O
1744296022946242560, 0, 2/20, O
1744296022946537984, 1, 2/24, O
1744296022946829824, 0, 2/24, O
1744296022947122688, 1, 2/24, O
1744296022947414784, 0, 2/24, O
1744296022947706368, 0, 2/24, O
1744296022947998208, 0, 2/21, O
1744296022948293120, 0, 2/24, O
1744296022948585728, 1, 2/24, O
1744296022948877568, 1, 2/24, O
1744296022949169152, 1, 2/24, O
1744296022949460736, 1, 2/21, O
1744296022949755648, 1, 1/18, O
1744296022950071552, 0, 2/19, O
1744296022950367488, 1, 2/24, O
1744296022950659840, 0, 2/24, O
1744296022950952192, 0, 2/24, O
1744296022951243520, 0, 2/24, O
1744296022951535872, 1, 1/21, O
1744296022951831040, 1, 2/24, O
1744296022952122880, 1, 2/24, O
1744296022952415232, 0, 1/24, O
1744296022952707584, 1, 1/23, O
1744296022952998912, 1, 2/22, O
1744296022953293824, 0, 2/22, O
1744296022953586688, 0, 1/24, O
1744296022953878784, 0, 3/22, O
1744296022954171392, 0, 2/24, O
1744296022954463488, 1, 2/24, O
1744296022954755072, 1, 2/20, O
1744296022955049472, 0, 2/24, O
1744296022955342080, 0, 2/24, O
1744296022955633920, 0, 2/24, O
1744296022955925760, 0, 2/24, O
1744296022956217856, 1, 2/24, O
1744296022956509952, 0, 2/21, O
1744296022956805376, 0, 2/24, O
1744296022957099520, 1, 2/24, O
1744296022957393920, 1, 1/24, O
1744296022957685760, 1, 2/24, O
1744296022958044928, 0, 2/22, O
1744296022958343936, 0, 2/21, O
1744296022958638592, 0, 1/24, O
1744296022958930944, 1, 2/24, O
1744296022959222784, 1, 1/24, O
1744296022959515648, 0, 1/24, O
1744296022959808000, 1, 2/23, O
1744296022960101888, 1, 2/21, O
1744296022960398592, 0, 2/23, O
1744296022960691968, 0, 1/24, O
1744296022960983808, 0, 1/25, O
1744296022961275648, 1, 1/24, O
1744296022961567488, 1, 1/24, O
1744296022961859328, 1, 2/17, O
1744296022962153984, 1, 2/24, O
1744296022962446080, 1, 2/24, O
1744296022962737920, 1, 2/24, O
1744296022963029504, 1, 2/24, O
1744296022963321344, 1, 2/24, O
1744296022963613184, 0, 2/20, O
1744296022963908864, 0, 2/24, O
1744296022964201472, 1, 2/24, O
1744296022964493312, 0, 2/24, O
1744296022964784896, 0, 2/24, O
1744296022965077504, 1, 1/24, O
1744296022965370368, 1, 2/21, O
1744296022965664512, 1, 2/24, O
1744296022966016768, 0, 2/22, O
1744296022966312960, 0, 2/24, O
1744296022966605056, 0, 2/24, O
1744296022966897408, 1, 2/22, O
1744296022967193600, 0, 2/22, O
1744296022967490048, 0, 2/24, O
1744296022967782656, 0, 2/24, O
1744296022968075008, 1, 2/24, O
1744296022968366848, 1, 2/24, O
1744296022968658688, 0, 2/21, O
1744296022968954624, 1, 2/24, O
1744296022969247232, 0, 2/24, O
1744296022969539072, 0, 2/24, O
1744296022969831168, 1, 2/19, O
1744296022970110208, 0, 2/24, O
1744296022970404096, 1, 2/20, O
1744296022970699008, 0, 2/24, O
1744296022970992384, 1, 2/24, O
1744296022971284224, 0, 2/24, O
1744296022971576320, 1, 2/24, O
1744296022971868160, 0, 2/24, O
1744296022972160256, 1, 2/21, O
1744296022972455168, 1, 1/24, O
1744296022972747008, 1, 1/24, O
1744296022973038592, 1, 1/24, O
1744296022973330688, 0, 2/23, O
1744296022973622528, 1, 1/24, O
1744296022973913856, 0, 4/10, O
1744296022974213632, 0, 1/23, O
1744296022974506240, 1, 2/24, O
1744296022974798080, 1, 2/24, O
1744296022975089664, 0, 2/24, O
1744296022975381504, 1, 2/24, O
1744296022975672832, 1, 2/21, O
1744296022975967488, 1, 2/24, O
1744296022976259840, 0, 2/24, O
1744296022976551936, 1, 2/24, O
1744296022976844288, 1, 2/24, O
1744296022977136128, 1, 2/24, O
1744296022977426944, 1, 2/21, O
1744296022977724160, 1, 2/22, O
1744296022978017536, 0, 2/24, O
1744296022978309888, 1, 1/25, O
1744296022978601728, 1, 1/24, O
1744296022978893312, 0, 2/23, O
1744296022979214336, 0, 2/20, O
1744296022979509248, 1, 2/24, O
1744296022979801088, 0, 1/24, O
1744296022980093440, 1, 2/25, O
1744296022980385024, 1, 1/24, O
1744296022980676864, 0, 1/24, O
1744296022980968448, 0, 2/20, O
1744296022981263360, 1, 2/24, O
1744296022981555200, 1, 2/24, O
1744296022981846528, 1, 1/11, O
1744296022982157824, 0, 3/22, O
1744296022982451968, 1, 2/24, O
1744296022982744064, 0, 2/21, O
1744296022983039232, 0, 2/24, O
1744296022983332096, 1, 2/24, O
1744296022983623936, 1, 1/24, O
1744296022983915264, 1, 2/24, O
1744296022984206848, 1, 2/24, O
1744296022984497920, 1, 2/20, O
1744296022984792832, 0, 2/24, O
1744296022985084928, 1, 2/24, O
1744296022985376768, 1, 2/24, O
1744296022985668096, 0, 2/24, O
1744296022985976576, 0, 2/24, O
1744296022986270720, 0, 2/20, O
1744296022986565888, 1, 2/24, O
1744296022986857728, 0, 2/24, O
1744296022987149824, 1, 2/24, O
1744296022987441152, 0, 2/24, O
1744296022987734016, 1, 2/24, O
1744296022988026112, 1, 2/20, O
1744296022988320768, 0, 2/24, O
1744296022988613120, 0, 2/24, O
1744296022988905472, 1, 2/24, O
1744296022989197056, 0, 2/24, O
1744296022989489152, 0, 2/23, O
1744296022989782528, 1, 2/17, O
1744296022990143232, 0, 1/22, O
1744296022990437376, 1, 2/24, O
1744296022990729216, 0, 2/24, O
1744296022991021312, 1, 2/24, O
1744296022991313152, 1, 2/24, O
1744296022991604736, 0, 2/21, O
1744296022991899648, 1, 2/24, O
1744296022992191232, 0, 1/24, O
1744296022992483072, 1, 1/23, O
1744296022992774912, 1, 2/24, O
1744296022993066496, 1, 2/22, O
1744296022993360896, 1, 2/23, O
1744296022993653248, 0, 2/24, O
1744296022993944832, 0, 2/22, O
1744296022994237440, 0, 2/24, O
1744296022994529792, 1, 2/24, O
1744296022994821376, 0, 2/21, O
1744296022995116032, 0, 2/24, O
1744296022995408128, 1, 2/24, O
1744296022995699712, 1, 2/24, O
1744296022995991296, 0, 2/24, O
1744296022996282880, 0, 2/24, O
1744296022996574976, 1, 2/20, O
1744296022996869632, 0, 2/24, O
1744296022997161728, 1, 2/24, O
1744296022997453312, 0, 2/24, O
1744296022997745152, 0, 2/20, O
1744296022998065664, 1, 2/23, O
1744296022998369024, 0, 2/20, O
1744296022998663680, 0, 2/24, O
1744296022998955520, 0, 2/24, O
1744296022999247360, 0, 1/25, O
1744296022999538944, 1, 2/23, O
1744296022999830784, 1, 2/24, O
1744296023000122624, 1, 2/21, O
1744296023000417536, 1, 2/24, O
1744296023000708608, 1, 2/24, O
1744296023001000192, 0, 2/24, O
1744296023001292032, 1, 2/24, O
1744296023001583616, 0, 2/24, O
1744296023001875968, 1, 3/18, O
1744296023002170624, 0, 2/24, O
1744296023002462464, 1, 2/24, O
1744296023002754560, 1, 2/24, O
1744296023003046144, 0, 2/24, O
1744296023003338240, 1, 2/24, O
1744296023003630080, 0, 2/21, O
1744296023003925248, 0, 1/24, O
1744296023004217088, 0, 1/24, O
1744296023004509440, 0, 2/24, O
1744296023004801024, 1, 1/24, O
1744296023005092864, 0, 1/24, O
1744296023005384960, 0, 2/20, O
1744296023005679616, 1, 2/24, O
1744296023006033152, 0, 3/22, O
1744296023006328832, 0, 2/24, O
1744296023006621184, 1, 2/24, O
1744296023006913024, 1, 2/22, O
1744296023007208192, 1, 2/23, O
1744296023007500544, 1, 2/24, O
1744296023007792384, 1, 2/24, O
1744296023008086528, 1, 2/24, O
1744296023008377856, 1, 2/24, O
1744296023008669696, 1, 2/21, O
1744296023008964864, 0, 1/24, O
1744296023009256960, 0, 1/24, O
1744296023009548544, 0, 2/23, O
1744296023009840640, 1, 2/19, O
1744296023010112256, 0, 2/23, O
1744296023010405632, 1, 2/21, O
1744296023010700032, 0, 2/24, O
1744296023010992384, 0, 2/24, O
1744296023011284224, 1, 2/24, O
1744296023011575808, 1, 2/24, O
1744296023011867648, 1, 2/24, O
1744296023012159488, 0, 1/20, O
1744296023012454400, 1, 2/24, O
1744296023012746496, 0, 2/24, O
1744296023013039104, 0, 2/24, O
1744296023013330944, 1, 2/24, O
1744296023013622528, 0, 2/24, O
1744296023013914112, 0, 1/8, O
1744296023014210048, 1, 2/20, O
1744296023014505728, 0, 1/24, O
1744296023014798080, 1, 1/24, O
1744296023015089920, 0, 1/24, O
1744296023015381504, 0, 1/24, O
1744296023015673344, 0, 2/22, O
1744296023015967744, 1, 2/22, O
1744296023016261376, 1, 2/25, O
1744296023016552960, 1, 1/24, O
