1744271412842838784, 1744271412843024896, 1/18, O
1744271412843024896, 1744271412843212032, 1/19, O
1744271412843212032, 1744271412843401216, 1/15, O
1744271412843401216, 1744271412843588096, 1/18, O
1744271412843588096, 1744271412843774720, 1/18, O
1744271412843774720, 1744271412843962112, 1/18, O
1744271412843962112, 1744271412844148736, 1/18, O
1744271412844148736, 1744271412844335616, 1/19, O
1744271412844335616, 1744271412844522240, 1/18, O
1744271412844522240, 1744271412844709888, 1/19, O
1744271412844709888, 1744271412844896768, 1/18, O
1744271412844896768, 1744271412845085696, 1/16, O
1744271412845085696, 1744271412845275904, 1/15, O
1744271412845275904, 1744271412845463040, 1/18, O
1744271412845463040, 1744271412845650432, 1/18, O
1744271412845650432, 1744271412845837568, 1/19, O
1744271412845837568, 1744271412846024192, 1/18, O
1744271412846024192, 1744271412846210304, 1/18, O
1744271412846210304, 1744271412846400000, 1/19, O
1744271412846400000, 1744271412846587136, 1/18, O
1744271412846587136, 1744271412846774528, 1/18, O
1744271412846774528, 1744271412846964736, 1/15, O
1744271412846964736, 1744271412847152384, 1/18, O
1744271412847152384, 1744271412847339264, 1/18, O
1744271412847339264, 1744271412847525888, 1/19, O
1744271412847525888, 1744271412847712256, 1/18, O
1744271412847712256, 1744271412847899392, 1/18, O
1744271412847899392, 1744271412848089856, 1/19, O
1744271412848089856, 1744271412848276992, 1/18, O
1744271412848276992, 1744271412848463872, 1/18, O
1744271412848463872, 1744271412848654848, 1/15, O
1744271412848654848, 1744271412848842240, 1/18, O
1744271412848842240, 1744271412849031936, 2/9, O
1744271412849031936, 1744271412849222144, 2/16, O
1744271412849222144, 1744271412849409536, 1/18, O
1744271412849409536, 1744271412849595904, 1/18, O
1744271412849595904, 1744271412849783808, 1/19, O
1744271412849783808, 1744271412849970432, 1/18, O
1744271412849970432, 1744271412850165248, 1/17, O
1744271412850165248, 1744271412850353408, 1/18, O
1744271412850353408, 1744271412850543616, 1/15, O
1744271412850543616, 1744271412850730752, 1/18, O
1744271412850730752, 1744271412850917376, 1/18, O
1744271412850917376, 1744271412851105024, 1/18, O
1744271412851105024, 1744271412851291648, 1/18, O
1744271412851291648, 1744271412851478528, 1/19, O
1744271412851478528, 1744271412851666432, 1/18, O
1744271412851666432, 1744271412851853056, 1/19, O
1744271412851853056, 1744271412852040192, 1/18, O
1744271412852040192, 1744271412852230656, 1/14, O
1744271412852230656, 1744271412852417536, 1/19, O
1744271412852417536, 1744271412852604416, 1/18, O
1744271412852604416, 1744271412852791552, 1/18, O
1744271412852791552, 1744271412852949504, 1/13, O
1744271412852949504, 1744271412853136640, 1/18, O
1744271412853136640, 1744271412853324032, 1/19, O
1744271412853324032, 1744271412853510912, 1/18, O
1744271412853510912, 1744271412853697792, 1/18, O
1744271412853697792, 1744271412853887744, 1/15, O
1744271412853887744, 1744271412854076160, 1/18, O
1744271412854076160, 1744271412854263040, 1/19, O
1744271412854263040, 1744271412854449664, 1/18, O
1744271412854449664, 1744271412854635776, 1/18, O
1744271412854635776, 1744271412854822912, 1/19, O
1744271412854822912, 1744271412855009792, 1/18, O
1744271412855009792, 1744271412855197440, 1/18, O
1744271412855197440, 1744271412855383808, 1/19, O
1744271412855383808, 1744271412855573504, 1/16, O
1744271412855573504, 1744271412855761408, 1/17, O
1744271412855761408, 1744271412855948800, 1/18, O
1744271412855948800, 1744271412856135680, 1/19, O
1744271412856135680, 1744271412856349696, 1/18, O
1744271412856349696, 1744271412856537600, 1/18, O
1744271412856537600, 1744271412856724480, 1/18, O
1744271412856724480, 1744271412856976128, 1/18, O
1744271412856976128, 1744271412857178112, 1/17, O
1744271412857178112, 1744271412857365504, 1/18, O
1744271412857365504, 1744271412857555456, 1/15, O
1744271412857555456, 1744271412857742848, 1/18, O
1744271412857742848, 1744271412857929472, 1/18, O
1744271412857929472, 1744271412858116096, 1/19, O
1744271412858116096, 1744271412858302976, 1/18, O
1744271412858302976, 1744271412858489600, 1/18, O
1744271412858489600, 1744271412858676224, 1/19, O
1744271412858676224, 1744271412858862848, 1/18, O
1744271412858862848, 1744271412859050240, 1/18, O
1744271412859050240, 1744271412859240448, 1/15, O
1744271412859240448, 1744271412859428352, 1/18, O
1744271412859428352, 1744271412859615488, 1/19, O
1744271412859615488, 1744271412859802880, 1/18, O
1744271412859802880, 1744271412859989248, 1/18, O
1744271412859989248, 1744271412860176128, 1/19, O
1744271412860176128, 1744271412860363264, 1/18, O
1744271412860363264, 1744271412860550400, 1/19, O
1744271412860550400, 1744271412860736256, 1/18, O
1744271412860736256, 1744271412860942336, 1/15, O
1744271412860942336, 1744271412861130240, 1/18, O
1744271412861130240, 1744271412861318144, 1/18, O
1744271412861318144, 1744271412861504768, 1/19, O
1744271412861504768, 1744271412861692416, 1/18, O
1744271412861692416, 1744271412861878272, 1/18, O
1744271412861878272, 1744271412862065664, 1/19, O
1744271412862065664, 1744271412862254080, 1/18, O
1744271412862254080, 1744271412862440704, 1/18, O
1744271412862440704, 1744271412862630144, 1/15, O
1744271412862630144, 1744271412862816512, 1/18, O
1744271412862816512, 1744271412863003136, 1/19, O
1744271412863003136, 1744271412863189504, 1/18, O
1744271412863189504, 1744271412863376128, 1/18, O
1744271412863376128, 1744271412863563520, 1/19, O
1744271412863563520, 1744271412863749888, 1/18, O
1744271412863749888, 1744271412863936512, 1/18, O
1744271412863936512, 1744271412864122880, 1/19, O
1744271412864122880, 1744271412864312320, 1/14, O
1744271412864312320, 1744271412864499200, 1/19, O
1744271412864499200, 1744271412864686336, 1/18, O
1744271412864686336, 1744271412864872704, 1/18, O
1744271412864872704, 1744271412865062912, 1/7, O
1744271412865062912, 1744271412865249792, 1/18, O
1744271412865249792, 1744271412865435904, 1/19, O
1744271412865435904, 1744271412865621760, 1/18, O
1744271412865621760, 1744271412865807616, 1/19, O
1744271412865807616, 1744271412865993728, 1/18, O
1744271412865993728, 1744271412866183424, 1/14, O
1744271412866183424, 1744271412866370560, 1/18, O
1744271412866370560, 1744271412866556416, 1/19, O
1744271412866556416, 1744271412866742272, 1/18, O
1744271412866742272, 1744271412866928384, 1/19, O
1744271412866928384, 1744271412867114496, 1/18, O
1744271412867114496, 1744271412867300096, 1/19, O
1744271412867300096, 1744271412867485952, 1/18, O
1744271412867485952, 1744271412867672064, 1/18, O
1744271412867672064, 1744271412867861504, 1/15, O
1744271412867861504, 1744271412868047872, 1/19, O
1744271412868047872, 1744271412868233984, 1/18, O
1744271412868233984, 1744271412868420096, 1/18, O
1744271412868420096, 1744271412868605696, 1/19, O
1744271412868605696, 1744271412868791552, 1/18, O
1744271412868791552, 1744271412868958208, 1/13, O
1744271412868958208, 1744271412869145088, 1/15, O
1744271412869145088, 1744271412869331712, 1/18, O
1744271412869331712, 1744271412869519104, 1/19, O
1744271412869519104, 1744271412869708032, 1/15, O
1744271412869708032, 1744271412869894912, 1/18, O
1744271412869894912, 1744271412870081024, 1/18, O
1744271412870081024, 1744271412870267392, 1/19, O
1744271412870267392, 1744271412870453248, 1/18, O
1744271412870453248, 1744271412870639360, 1/19, O
1744271412870639360, 1744271412870825472, 1/18, O
1744271412870825472, 1744271412871011584, 1/18, O
1744271412871011584, 1744271412871199744, 1/19, O
1744271412871199744, 1744271412871389440, 1/15, O
1744271412871389440, 1744271412871575808, 1/18, O
1744271412871575808, 1744271412871762176, 1/18, O
1744271412871762176, 1744271412871948032, 1/19, O
1744271412871948032, 1744271412872134144, 1/18, O
1744271412872134144, 1744271412872320000, 1/19, O
1744271412872320000, 1744271412872505856, 1/18, O
1744271412872505856, 1744271412872691968, 1/19, O
1744271412872691968, 1744271412872877824, 1/18, O
1744271412872877824, 1744271412873069312, 1/4, O
1744271412873069312, 1744271412873262080, 2/16, O
1744271412873262080, 1744271412873448704, 1/19, O
1744271412873448704, 1744271412873634560, 1/18, O
1744271412873634560, 1744271412873820416, 1/18, O
1744271412873820416, 1744271412874006272, 1/19, O
1744271412874006272, 1744271412874191872, 1/18, O
1744271412874191872, 1744271412874377728, 1/19, O
1744271412874377728, 1744271412874563584, 1/18, O
1744271412874563584, 1744271412874750464, 1/18, O
1744271412874750464, 1744271412874938880, 1/15, O
1744271412874938880, 1744271412875125248, 1/19, O
1744271412875125248, 1744271412875311104, 1/18, O
1744271412875311104, 1744271412875497216, 1/19, O
1744271412875497216, 1744271412875683072, 1/18, O
1744271412875683072, 1744271412875868928, 1/19, O
1744271412875868928, 1744271412876054784, 1/18, O
1744271412876054784, 1744271412876243200, 1/18, O
1744271412876243200, 1744271412876429568, 1/19, O
1744271412876429568, 1744271412876618752, 1/15, O
1744271412876618752, 1744271412876805120, 1/18, O
1744271412876805120, 1744271412876992000, 2/15, O
1744271412876992000, 1744271412877179648, 1/18, O
1744271412877179648, 1744271412877366016, 1/19, O
1744271412877366016, 1744271412877551872, 1/18, O
1744271412877551872, 1744271412877737984, 1/18, O
1744271412877737984, 1744271412877924096, 1/19, O
1744271412877924096, 1744271412878109696, 1/18, O
1744271412878109696, 1744271412878299136, 1/13, O
1744271412878299136, 1744271412878485760, 1/19, O
1744271412878485760, 1744271412878671872, 1/18, O
1744271412878671872, 1744271412878857728, 1/18, O
