1744271413143368448, 1744271413143555840, 1/19, O
1744271413143555840, 1744271413143742720, 1/18, O
1744271413143742720, 1744271413143930112, 1/18, O
1744271413143930112, 1744271413144116480, 1/19, O
1744271413144116480, 1744271413144305920, 1/15, O
1744271413144305920, 1744271413144493056, 1/18, O
1744271413144493056, 1744271413144679168, 1/18, O
1744271413144679168, 1744271413144865280, 1/19, O
1744271413144865280, 1744271413145054464, 2/7, O
1744271413145054464, 1744271413145242112, 1/17, O
1744271413145242112, 1744271413145429248, 1/18, O
1744271413145429248, 1744271413145615872, 1/18, O
1744271413145615872, 1744271413145802496, 1/19, O
1744271413145802496, 1744271413145991680, 1/15, O
1744271413145991680, 1744271413146178816, 1/18, O
1744271413146178816, 1744271413146365952, 1/18, O
1744271413146365952, 1744271413146553088, 1/19, O
1744271413146553088, 1744271413146739968, 1/18, O
1744271413146739968, 1744271413146926592, 1/18, O
1744271413146926592, 1744271413147112960, 1/19, O
1744271413147112960, 1744271413147300864, 1/18, O
1744271413147300864, 1744271413147487488, 1/19, O
1744271413147487488, 1744271413147682816, 1/16, O
1744271413147682816, 1744271413147870464, 1/16, O
1744271413147870464, 1744271413148057344, 1/19, O
1744271413148057344, 1744271413148244224, 1/18, O
1744271413148244224, 1744271413148431616, 1/18, O
1744271413148431616, 1744271413148618240, 1/19, O
1744271413148618240, 1744271413148805376, 1/18, O
1744271413148805376, 1744271413148993024, 2/15, O
1744271413148993024, 1744271413149180160, 1/19, O
1744271413149180160, 1744271413149367040, 1/18, O
1744271413149367040, 1744271413149556736, 1/15, O
1744271413149556736, 1744271413149743616, 1/18, O
1744271413149743616, 1744271413149930240, 1/18, O
1744271413149930240, 1744271413150117120, 1/19, O
1744271413150117120, 1744271413150304256, 1/18, O
1744271413150304256, 1744271413150491136, 1/18, O
1744271413150491136, 1744271413150678528, 1/19, O
1744271413150678528, 1744271413150865664, 1/18, O
1744271413150865664, 1744271413151052544, 1/18, O
1744271413151052544, 1744271413151243264, 1/15, O
1744271413151243264, 1744271413151430656, 1/18, O
1744271413151430656, 1744271413151618304, 1/18, O
1744271413151618304, 1744271413151805184, 1/19, O
1744271413151805184, 1744271413151992576, 1/18, O
1744271413151992576, 1744271413152179712, 1/19, O
1744271413152179712, 1744271413152366336, 1/18, O
1744271413152366336, 1744271413152553216, 1/18, O
1744271413152553216, 1744271413152739584, 1/18, O
1744271413152739584, 1744271413153007872, 1/15, O
1744271413153007872, 1744271413153197824, 1/16, O
1744271413153197824, 1744271413153385216, 1/18, O
1744271413153385216, 1744271413153572352, 1/18, O
1744271413153572352, 1744271413153758464, 1/19, O
1744271413153758464, 1744271413153944576, 1/18, O
1744271413153944576, 1744271413154131456, 1/18, O
1744271413154131456, 1744271413154317568, 1/19, O
1744271413154317568, 1744271413154504448, 1/18, O
1744271413154504448, 1744271413154695168, 1/15, O
1744271413154695168, 1744271413155087104, 1/11, O
1744271413155087104, 1744271413155280640, 1/4, O
1744271413155280640, 1744271413155469568, 1/18, O
1744271413155469568, 1744271413155655936, 1/18, O
1744271413155655936, 1744271413155843072, 1/19, O
1744271413155843072, 1744271413156029696, 1/18, O
1744271413156029696, 1744271413156216320, 1/18, O
1744271413156216320, 1744271413156402688, 1/19, O
1744271413156402688, 1744271413156591360, 1/18, O
1744271413156591360, 1744271413156781312, 1/18, O
1744271413156781312, 1744271413156972800, 1/11, O
1744271413156972800, 1744271413157162240, 1/18, O
1744271413157162240, 1744271413157349376, 1/19, O
1744271413157349376, 1744271413157535744, 1/18, O
1744271413157535744, 1744271413157722112, 1/18, O
1744271413157722112, 1744271413157908224, 1/19, O
1744271413157908224, 1744271413158095104, 1/18, O
1744271413158095104, 1744271413158282496, 1/19, O
1744271413158282496, 1744271413158469376, 1/18, O
1744271413158469376, 1744271413158659328, 1/15, O
1744271413158659328, 1744271413158846720, 1/18, O
1744271413158846720, 1744271413159032832, 1/18, O
1744271413159032832, 1744271413159219456, 1/19, O
1744271413159219456, 1744271413159406592, 1/18, O
1744271413159406592, 1744271413159593472, 1/18, O
1744271413159593472, 1744271413159780352, 1/19, O
1744271413159780352, 1744271413159967488, 1/18, O
1744271413159967488, 1744271413160153344, 1/19, O
1744271413160153344, 1744271413160342272, 1/14, O
1744271413160342272, 1744271413160529920, 1/19, O
1744271413160529920, 1744271413160717056, 1/18, O
1744271413160717056, 1744271413160903680, 1/18, O
1744271413160903680, 1744271413161156352, 2/17, O
1744271413161156352, 1744271413161344512, 0/18, X
1744271413161344512, 1744271413161531392, 1/18, O
1744271413161531392, 1744271413161718272, 1/18, O
1744271413161718272, 1744271413161904384, 1/19, O
1744271413161904384, 1744271413162093824, 1/14, O
1744271413162093824, 1744271413162281728, 1/16, O
1744271413162281728, 1744271413162467840, 1/18, O
1744271413162467840, 1744271413162653952, 1/19, O
1744271413162653952, 1744271413162840832, 1/18, O
1744271413162840832, 1744271413163027968, 1/18, O
1744271413163027968, 1744271413163213568, 1/19, O
1744271413163213568, 1744271413163400448, 1/18, O
1744271413163400448, 1744271413163587584, 1/18, O
1744271413163587584, 1744271413163774464, 1/18, O
1744271413163774464, 1744271413163963136, 1/15, O
1744271413163963136, 1744271413164149504, 1/19, O
1744271413164149504, 1744271413164335616, 1/18, O
1744271413164335616, 1744271413164523008, 1/19, O
1744271413164523008, 1744271413164709888, 1/18, O
1744271413164709888, 1744271413164895744, 1/18, O
1744271413164895744, 1744271413165083392, 1/14, O
1744271413165083392, 1744271413165269504, 1/18, O
1744271413165269504, 1744271413165457408, 1/19, O
1744271413165457408, 1744271413165646592, 1/14, O
1744271413165646592, 1744271413165833472, 1/19, O
1744271413165833472, 1744271413166019584, 1/18, O
1744271413166019584, 1744271413166206208, 1/18, O
1744271413166206208, 1744271413166393088, 1/19, O
1744271413166393088, 1744271413166579712, 1/18, O
1744271413166579712, 1744271413166765568, 1/18, O
1744271413166765568, 1744271413166951936, 1/19, O
1744271413166951936, 1744271413167138816, 1/18, O
1744271413167138816, 1744271413167328256, 1/15, O
1744271413167328256, 1744271413167515392, 1/18, O
1744271413167515392, 1744271413167746816, 1/18, O
1744271413167746816, 1744271413167933440, 1/18, O
1744271413167933440, 1744271413168119552, 1/19, O
1744271413168119552, 1744271413168306688, 1/18, O
1744271413168306688, 1744271413168492800, 1/19, O
1744271413168492800, 1744271413168678912, 1/18, O
1744271413168678912, 1744271413168865792, 1/18, O
1744271413168865792, 1744271413169054720, 2/10, O
1744271413169054720, 1744271413169244928, 2/13, O
1744271413169244928, 1744271413169432576, 1/18, O
1744271413169432576, 1744271413169620224, 1/19, O
1744271413169620224, 1744271413169806592, 1/18, O
1744271413169806592, 1744271413169993216, 1/19, O
1744271413169993216, 1744271413170179584, 1/18, O
1744271413170179584, 1744271413170365696, 1/18, O
1744271413170365696, 1744271413170553088, 1/19, O
1744271413170553088, 1744271413170739456, 1/18, O
1744271413170739456, 1744271413170929408, 1/15, O
1744271413170929408, 1744271413171117312, 1/18, O
1744271413171117312, 1744271413171305728, 1/18, O
1744271413171305728, 1744271413171492352, 1/19, O
1744271413171492352, 1744271413171679232, 1/18, O
1744271413171679232, 1744271413171865600, 1/19, O
1744271413171865600, 1744271413172051712, 1/18, O
1744271413172051712, 1744271413172238080, 1/18, O
1744271413172238080, 1744271413172424448, 1/19, O
1744271413172424448, 1744271413172634112, 1/14, O
1744271413172634112, 1744271413172821248, 1/18, O
1744271413172821248, 1744271413173008128, 1/15, O
1744271413173008128, 1744271413173195008, 1/19, O
1744271413173195008, 1744271413173381888, 1/15, O
1744271413173381888, 1744271413173568000, 1/18, O
1744271413173568000, 1744271413173753856, 1/19, O
1744271413173753856, 1744271413173939968, 1/18, O
1744271413173939968, 1744271413174126080, 1/19, O
1744271413174126080, 1744271413174315520, 1/14, O
1744271413174315520, 1744271413174502656, 1/19, O
1744271413174502656, 1744271413174689024, 1/18, O
1744271413174689024, 1744271413174876160, 1/18, O
1744271413174876160, 1744271413175062272, 1/19, O
1744271413175062272, 1744271413175248384, 1/18, O
1744271413175248384, 1744271413175435264, 1/19, O
1744271413175435264, 1744271413175622400, 1/18, O
1744271413175622400, 1744271413175808512, 1/18, O
1744271413175808512, 1744271413175997696, 1/16, O
1744271413175997696, 1744271413176185600, 1/18, O
1744271413176185600, 1744271413176372736, 1/18, O
1744271413176372736, 1744271413176559104, 1/18, O
1744271413176559104, 1744271413176745472, 1/19, O
1744271413176745472, 1744271413176988160, 1/18, O
1744271413176988160, 1744271413177174784, 1/19, O
1744271413177174784, 1744271413177362432, 1/16, O
1744271413177362432, 1744271413177549056, 1/18, O
1744271413177549056, 1744271413177735936, 1/19, O
1744271413177735936, 1744271413177925632, 1/15, O
1744271413177925632, 1744271413178113536, 1/18, O
1744271413178113536, 1744271413178299904, 1/18, O
1744271413178299904, 1744271413178486016, 1/19, O
1744271413178486016, 1744271413178672640, 1/18, O
1744271413178672640, 1744271413178859264, 1/18, O
1744271413178859264, 1744271413179045888, 1/19, O
1744271413179045888, 1744271413179231744, 1/18, O
1744271413179231744, 1744271413179418368, 1/19, O
1744271413179418368, 1744271413179608064, 1/14, O
1744271413179608064, 1744271413179794688, 1/19, O
1744271413179794688, 1744271413179982080, 1/18, O
1744271413179982080, 1744271413180168704, 1/19, O
1744271413180168704, 1744271413180354304, 1/18, O
1744271413180354304, 1744271413180540672, 1/18, O
1744271413180540672, 1744271413180727808, 1/19, O
1744271413180727808, 1744271413180930048, 1/18, O
1744271413180930048, 1744271413181117696, 1/18, O
1744271413181117696, 1744271413181308416, 1/15, O
1744271413181308416, 1744271413181495552, 1/18, O
1744271413181495552, 1744271413181682176, 1/18, O
1744271413181682176, 1744271413181870080, 1/19, O
1744271413181870080, 1744271413182056448, 1/18, O
1744271413182056448, 1744271413182243328, 1/18, O
1744271413182243328, 1744271413182429696, 1/19, O
1744271413182429696, 1744271413182615808, 1/18, O
1744271413182615808, 1744271413182801920, 1/18, O
1744271413182801920, 1744271413182991104, 1/15, O
1744271413182991104, 1744271413183177728, 1/18, O
1744271413183177728, 1744271413183364096, 1/19, O
1744271413183364096, 1744271413183550464, 1/18, O
1744271413183550464, 1744271413183737088, 1/18, O
1744271413183737088, 1744271413183923968, 1/19, O
1744271413183923968, 1744271413184110336, 1/18, O
1744271413184110336, 1744271413184297216, 1/18, O
1744271413184297216, 1744271413184483840, 1/19, O
1744271413184483840, 1744271413184673792, 1/15, O
1744271413184673792, 1744271413184860672, 1/18, O
1744271413184860672, 1744271413185051648, 2/5, O
1744271413185051648, 1744271413185239552, 2/16, O
1744271413185239552, 1744271413185426688, 1/19, O
1744271413185426688, 1744271413185613312, 1/18, O
1744271413185613312, 1744271413185799936, 1/18, O
1744271413185799936, 1744271413185986560, 1/19, O
1744271413185986560, 1744271413186172928, 1/18, O
1744271413186172928, 1744271413186360064, 1/18, O
1744271413186360064, 1744271413186549504, 1/15, O
1744271413186549504, 1744271413186736384, 1/18, O
1744271413186736384, 1744271413186923008, 1/18, O
1744271413186923008, 1744271413187109632, 1/19, O
1744271413187109632, 1744271413187297792, 1/18, O
1744271413187297792, 1744271413187484416, 1/18, O
1744271413187484416, 1744271413187670528, 1/19, O
1744271413187670528, 1744271413187857408, 1/18, O
1744271413187857408, 1744271413188043264, 1/19, O
1744271413188043264, 1744271413188232448, 1/14, O
1744271413188232448, 1744271413188419072, 1/19, O
1744271413188419072, 1744271413188605184, 1/18, O
1744271413188605184, 1744271413188791296, 1/18, O
1744271413188791296, 1744271413188964864, 1/13, O
1744271413188964864, 1744271413189152512, 1/14, O
1744271413189152512, 1744271413189338880, 1/19, O
1744271413189338880, 1744271413189525760, 1/18, O
1744271413189525760, 1744271413189713152, 1/18, O
1744271413189713152, 1744271413189900032, 1/19, O
1744271413189900032, 1744271413190091520, 1/14, O
1744271413190091520, 1744271413190278656, 1/18, O
1744271413190278656, 1744271413190466048, 1/19, O
1744271413190466048, 1744271413190653952, 1/18, O
1744271413190653952, 1744271413190841088, 1/18, O
1744271413190841088, 1744271413191028736, 1/19, O
1744271413191028736, 1744271413191215360, 1/18, O
1744271413191215360, 1744271413191401728, 1/18, O
1744271413191401728, 1744271413191588352, 1/19, O
1744271413191588352, 1744271413191777792, 1/15, O
1744271413191777792, 1744271413191964672, 1/18, O
1744271413191964672, 1744271413192151552, 1/18, O
1744271413192151552, 1744271413192338688, 1/19, O
1744271413192338688, 1744271413192525568, 1/18, O
1744271413192525568, 1744271413192711936, 1/18, O
1744271413192711936, 1744271413192899328, 1/19, O
1744271413192899328, 1744271413193089536, 1/7, O
1744271413193089536, 1744271413193277184, 1/18, O
1744271413193277184, 1744271413193465088, 1/19, O
1744271413193465088, 1744271413193660928, 1/13, O
1744271413193660928, 1744271413193851904, 1/15, O
1744271413193851904, 1744271413194038528, 1/19, O
1744271413194038528, 1744271413194225408, 1/18, O
1744271413194225408, 1744271413194412032, 1/18, O
1744271413194412032, 1744271413194598144, 1/19, O
1744271413194598144, 1744271413194784256, 1/18, O
1744271413194784256, 1744271413194970112, 1/19, O
1744271413194970112, 1744271413195156736, 1/18, O
1744271413195156736, 1744271413195347200, 1/15, O
1744271413195347200, 1744271413195534336, 1/18, O
1744271413195534336, 1744271413195721216, 1/18, O
1744271413195721216, 1744271413195908352, 1/19, O
1744271413195908352, 1744271413196095488, 1/18, O
1744271413196095488, 1744271413196282112, 1/18, O
1744271413196282112, 1744271413196468736, 1/18, O
1744271413196468736, 1744271413196655104, 1/19, O
1744271413196655104, 1744271413196841472, 1/18, O
1744271413196841472, 1744271413197031424, 2/10, O
1744271413197031424, 1744271413197218048, 1/18, O
1744271413197218048, 1744271413197405184, 1/19, O
1744271413197405184, 1744271413197591296, 1/18, O
1744271413197591296, 1744271413197777920, 1/19, O
1744271413197777920, 1744271413197964544, 1/18, O
1744271413197964544, 1744271413198150656, 1/19, O
1744271413198150656, 1744271413198336768, 1/18, O
1744271413198336768, 1744271413198523392, 1/18, O
1744271413198523392, 1744271413198717440, 1/16, O
1744271413198717440, 1744271413198905344, 1/17, O
1744271413198905344, 1744271413199091712, 1/18, O
1744271413199091712, 1744271413199278080, 1/18, O
1744271413199278080, 1744271413199464448, 1/19, O
1744271413199464448, 1744271413199651840, 1/18, O
1744271413199651840, 1744271413199839744, 1/19, O
1744271413199839744, 1744271413200026368, 1/18, O
1744271413200026368, 1744271413200448512, 1/18, O
1744271413200448512, 1744271413200636416, 1/17, O
1744271413200636416, 1744271413200826624, 0/14, X
1744271413200826624, 1744271413201015296, 1/8, O
1744271413201015296, 1744271413201202944, 2/13, O
1744271413201202944, 1744271413201390080, 1/17, O
1744271413201390080, 1744271413201576704, 1/18, O
1744271413201576704, 1744271413201763072, 1/19, O
1744271413201763072, 1744271413201948928, 1/18, O
1744271413201948928, 1744271413202135808, 1/18, O
1744271413202135808, 1744271413202322688, 1/19, O
1744271413202322688, 1744271413202509568, 1/18, O
1744271413202509568, 1744271413202699520, 1/15, O
1744271413202699520, 1744271413202886144, 1/18, O
1744271413202886144, 1744271413203072000, 1/19, O
1744271413203072000, 1744271413203258624, 1/18, O
1744271413203258624, 1744271413203444992, 1/18, O
1744271413203444992, 1744271413203631616, 1/19, O
1744271413203631616, 1744271413203819264, 1/18, O
1744271413203819264, 1744271413204009472, 1/18, O
1744271413204009472, 1744271413204204288, 1/17, O
1744271413204204288, 1744271413204401920, 1/11, O
1744271413204401920, 1744271413204597248, 1/13, O
1744271413204597248, 1744271413204797184, 1/16, O
1744271413204797184, 1744271413204967168, 1/7, O
1744271413204967168, 1744271413205161728, 1/16, O
1744271413205161728, 1744271413205355776, 1/15, O
1744271413205355776, 1744271413205552128, 1/16, O
1744271413205552128, 1744271413205741568, 1/17, O
1744271413205741568, 1744271413205928704, 1/18, O
1744271413205928704, 1744271413206121984, 1/17, O
1744271413206121984, 1744271413206311168, 1/17, O
1744271413206311168, 1744271413206544896, 1/13, O
1744271413206544896, 1744271413206753280, 2/14, O
1744271413206753280, 1744271413206946560, 1/16, O
1744271413206946560, 1744271413207139840, 1/17, O
1744271413207139840, 1744271413207329536, 1/17, O
1744271413207329536, 1744271413207520768, 1/18, O
1744271413207520768, 1744271413207713792, 1/17, O
1744271413207713792, 1744271413207936512, 1/15, O
1744271413207936512, 1744271413208130560, 1/15, O
1744271413208130560, 1744271413208325376, 1/17, O
1744271413208325376, 1744271413208523520, 1/11, O
1744271413208523520, 1744271413208718848, 1/15, O
1744271413208718848, 1744271413208979968, 1/17, O
1744271413208979968, 1744271413209168896, 1/17, O
1744271413209168896, 1744271413209357824, 2/17, O
1744271413209357824, 1744271413209545728, 1/18, O
1744271413209545728, 1744271413209733120, 1/19, O
1744271413209733120, 1744271413209918976, 1/18, O
1744271413209918976, 1744271413210105600, 1/18, O
1744271413210105600, 1744271413210292224, 1/19, O
1744271413210292224, 1744271413210482688, 1/14, O
1744271413210482688, 1744271413210672128, 1/18, O
1744271413210672128, 1744271413210890240, 1/19, O
1744271413210890240, 1744271413211076864, 1/12, O
1744271413211076864, 1744271413211263744, 1/19, O
1744271413211263744, 1744271413211451392, 1/18, O
1744271413211451392, 1744271413211639808, 1/18, O
1744271413211639808, 1744271413211826176, 1/18, O
1744271413211826176, 1744271413212013568, 1/19, O
1744271413212013568, 1744271413212204800, 1/14, O
1744271413212204800, 1744271413212391424, 1/18, O
1744271413212391424, 1744271413212577792, 1/19, O
1744271413212577792, 1744271413212764160, 1/18, O
1744271413212764160, 1744271413212953600, 1/17, O
1744271413212953600, 1744271413213140480, 1/18, O
1744271413213140480, 1744271413213327104, 1/18, O
1744271413213327104, 1744271413213513472, 1/19, O
1744271413213513472, 1744271413213700864, 1/18, O
1744271413213700864, 1744271413213888768, 1/18, O
1744271413213888768, 1744271413214079744, 1/15, O
1744271413214079744, 1744271413214267136, 1/18, O
1744271413214267136, 1744271413214454016, 1/19, O
1744271413214454016, 1744271413214640896, 1/18, O
1744271413214640896, 1744271413214828032, 1/18, O
1744271413214828032, 1744271413215015168, 1/18, O
1744271413215015168, 1744271413215202560, 1/18, O
1744271413215202560, 1744271413215391232, 1/18, O
1744271413215391232, 1744271413215602688, 1/18, O
1744271413215602688, 1744271413215796480, 1/13, O
1744271413215796480, 1744271413216031488, 1/18, O
1744271413216031488, 1744271413216219648, 1/18, O
1744271413216219648, 1744271413216409088, 1/17, O
1744271413216409088, 1744271413216596992, 1/17, O
1744271413216596992, 1744271413216787200, 1/18, O
1744271413216787200, 1744271413217002496, 1/13, O
1744271413217002496, 1744271413217191424, 2/15, O
1744271413217191424, 1744271413217378048, 1/19, O
1744271413217378048, 1744271413217564672, 1/18, O
1744271413217564672, 1744271413217753600, 1/15, O
1744271413217753600, 1744271413217940480, 1/18, O
1744271413217940480, 1744271413218126336, 1/19, O
1744271413218126336, 1744271413218312960, 1/18, O
1744271413218312960, 1744271413218499584, 1/19, O
1744271413218499584, 1744271413218685440, 1/18, O
1744271413218685440, 1744271413218872064, 1/18, O
1744271413218872064, 1744271413219058432, 1/19, O
1744271413219058432, 1744271413219244800, 1/18, O
1744271413219244800, 1744271413219436288, 1/15, O
1744271413219436288, 1744271413219624960, 1/18, O
1744271413219624960, 1744271413219811584, 1/18, O
1744271413219811584, 1744271413219999488, 1/19, O
1744271413219999488, 1744271413220186368, 1/17, O
1744271413220186368, 1744271413220373760, 1/19, O
1744271413220373760, 1744271413220561152, 1/18, O
1744271413220561152, 1744271413220747776, 1/18, O
1744271413220747776, 1744271413220969472, 1/18, O
1744271413220969472, 1744271413221162496, 1/7, O
1744271413221162496, 1744271413221350912, 1/18, O
1744271413221350912, 1744271413221538560, 1/18, O
1744271413221538560, 1744271413221726720, 1/18, O
1744271413221726720, 1744271413221912832, 1/18, O
1744271413221912832, 1744271413222099712, 1/19, O
1744271413222099712, 1744271413222285824, 1/18, O
1744271413222285824, 1744271413222472192, 1/18, O
1744271413222472192, 1744271413222658560, 1/19, O
1744271413222658560, 1744271413222846720, 1/17, O
1744271413222846720, 1744271413223035648, 1/16, O
1744271413223035648, 1744271413223222784, 1/18, O
1744271413223222784, 1744271413223409152, 1/19, O
1744271413223409152, 1744271413223595776, 1/18, O
1744271413223595776, 1744271413223783680, 1/18, O
1744271413223783680, 1744271413223971584, 1/19, O
1744271413223971584, 1744271413224158464, 1/18, O
1744271413224158464, 1744271413224345088, 1/18, O
1744271413224345088, 1744271413224531968, 1/19, O
1744271413224531968, 1744271413224721408, 1/14, O
1744271413224721408, 1744271413224976896, 1/18, O
1744271413224976896, 1744271413225169152, 1/17, O
1744271413225169152, 1744271413225358080, 2/15, O
1744271413225358080, 1744271413225544960, 1/18, O
1744271413225544960, 1744271413225732096, 1/19, O
1744271413225732096, 1744271413225917952, 1/18, O
1744271413225917952, 1744271413226104576, 1/18, O
1744271413226104576, 1744271413226291712, 1/18, O
1744271413226291712, 1744271413226481408, 1/14, O
1744271413226481408, 1744271413226667520, 1/19, O
1744271413226667520, 1744271413226853888, 1/18, O
1744271413226853888, 1744271413227042816, 1/17, O
1744271413227042816, 1744271413227241216, 1/18, O
1744271413227241216, 1744271413227431936, 1/17, O
1744271413227431936, 1744271413227621120, 1/18, O
1744271413227621120, 1744271413227811840, 1/17, O
1744271413227811840, 1744271413228002560, 1/16, O
1744271413228002560, 1744271413228192256, 1/14, O
1744271413228192256, 1744271413228388096, 1/13, O
1744271413228388096, 1744271413228579328, 1/16, O
1744271413228579328, 1744271413228772096, 1/17, O
1744271413228772096, 1744271413228958720, 1/13, O
1744271413228958720, 1744271413229150464, 1/16, O
1744271413229150464, 1744271413229342976, 1/16, O
1744271413229342976, 1744271413229530880, 1/19, O
1744271413229530880, 1744271413229719040, 1/16, O
1744271413229719040, 1744271413229906432, 1/19, O
1744271413229906432, 1744271413230093824, 1/18, O
1744271413230093824, 1744271413230283520, 1/15, O
1744271413230283520, 1744271413230471424, 1/18, O
1744271413230471424, 1744271413230658304, 1/18, O
1744271413230658304, 1744271413230845696, 1/19, O
1744271413230845696, 1744271413231032576, 1/18, O
1744271413231032576, 1744271413231219456, 1/18, O
1744271413231219456, 1744271413231434752, 1/19, O
1744271413231434752, 1744271413231622912, 1/18, O
1744271413231622912, 1744271413231811584, 1/18, O
1744271413231811584, 1744271413232004352, 1/14, O
1744271413232004352, 1744271413232191744, 1/18, O
1744271413232191744, 1744271413232379392, 1/15, O
1744271413232379392, 1744271413232566272, 1/19, O
1744271413232566272, 1744271413232753664, 1/18, O
1744271413232753664, 1744271413233061376, 1/18, O
1744271413233061376, 1744271413233249792, 1/13, O
1744271413233249792, 1744271413233439232, 2/16, O
1744271413233439232, 1744271413233626368, 1/18, O
1744271413233626368, 1744271413233813760, 1/18, O
1744271413233813760, 1744271413234003200, 1/13, O
1744271413234003200, 1744271413234189568, 1/19, O
1744271413234189568, 1744271413234375936, 1/18, O
1744271413234375936, 1744271413234561792, 1/18, O
1744271413234561792, 1744271413234747648, 1/19, O
1744271413234747648, 1744271413234934272, 1/18, O
1744271413234934272, 1744271413235121152, 1/18, O
1744271413235121152, 1744271413235307264, 1/19, O
1744271413235307264, 1744271413235494144, 1/18, O
1744271413235494144, 1744271413235684352, 1/15, O
1744271413235684352, 1744271413235870976, 1/18, O
1744271413235870976, 1744271413236057856, 1/18, O
1744271413236057856, 1744271413236244736, 1/19, O
1744271413236244736, 1744271413236430848, 1/18, O
1744271413236430848, 1744271413236617216, 1/19, O
1744271413236617216, 1744271413236803328, 1/18, O
1744271413236803328, 1744271413236965632, 1/11, O
1744271413236965632, 1744271413237153280, 1/18, O
1744271413237153280, 1744271413237342976, 1/16, O
1744271413237342976, 1744271413237529600, 1/18, O
1744271413237529600, 1744271413237716224, 1/18, O
1744271413237716224, 1744271413237902080, 1/19, O
1744271413237902080, 1744271413238088192, 1/18, O
1744271413238088192, 1744271413238451200, 1/8, O
1744271413238451200, 1744271413238638336, 1/18, O
1744271413238638336, 1744271413238825216, 1/18, O
1744271413238825216, 1744271413239011840, 1/19, O
1744271413239011840, 1744271413239209216, 1/16, O
1744271413239209216, 1744271413239401216, 1/14, O
1744271413239401216, 1744271413239588352, 1/18, O
1744271413239588352, 1744271413239777792, 1/18, O
1744271413239777792, 1744271413239968000, 1/18, O
1744271413239968000, 1744271413240157952, 1/18, O
1744271413240157952, 1744271413240349184, 1/17, O
1744271413240349184, 1744271413240540672, 1/18, O
1744271413240540672, 1744271413240732672, 1/17, O
1744271413240732672, 1744271413240993792, 1/18, O
1744271413240993792, 1744271413241186560, 1/17, O
1744271413241186560, 1744271413241380352, 1/12, O
1744271413241380352, 1744271413241572608, 4/15, O
1744271413241572608, 1744271413241761280, 1/18, O
1744271413241761280, 1744271413241952512, 1/18, O
1744271413241952512, 1744271413242145024, 1/18, O
1744271413242145024, 1744271413242354432, 1/17, O
1744271413242354432, 1744271413242545152, 1/17, O
1744271413242545152, 1744271413242737408, 1/18, O
1744271413242737408, 1744271413243666432, 1/3, O
1744271413243666432, 1744271413243862784, 1/8, O
1744271413243862784, 1744271413244086528, 1/18, O
1744271413244086528, 1744271413244283392, 2/12, O
1744271413244283392, 1744271413244477440, 1/13, O
1744271413244477440, 1744271413244696832, 1/15, O
1744271413244696832, 1744271413245104640, 0/1, X
1744271413245104640, 1744271413245295104, 1/18, O
1744271413245295104, 1744271413245483008, 1/18, O
1744271413245483008, 1744271413245670400, 1/19, O
1744271413245670400, 1744271413245858048, 1/18, O
1744271413245858048, 1744271413246044672, 1/18, O
1744271413246044672, 1744271413246232064, 1/19, O
1744271413246232064, 1744271413246420736, 1/16, O
1744271413246420736, 1744271413246609664, 1/16, O
1744271413246609664, 1744271413246833664, 1/17, O
1744271413246833664, 1744271413247021568, 1/19, O
1744271413247021568, 1744271413247208704, 1/18, O
1744271413247208704, 1744271413247395072, 1/18, O
1744271413247395072, 1744271413247586560, 1/5, O
1744271413247586560, 1744271413247775232, 1/18, O
1744271413247775232, 1744271413247967488, 1/15, O
1744271413247967488, 1744271413248154624, 1/18, O
1744271413248154624, 1744271413248341504, 1/19, O
1744271413248341504, 1744271413248531968, 1/15, O
1744271413248531968, 1744271413248721152, 1/18, O
1744271413248721152, 1744271413248976384, 1/18, O
1744271413248976384, 1744271413249214720, 1/18, O
1744271413249214720, 1744271413249411584, 1/18, O
1744271413249411584, 1744271413249600000, 1/18, O
1744271413249600000, 1744271413249794816, 1/15, O
1744271413249794816, 1744271413250003456, 0/0, X
1744271413250003456, 1744271413250193408, 1/18, O
1744271413250193408, 1744271413250380800, 1/19, O
1744271413250380800, 1744271413250571520, 1/14, O
1744271413250571520, 1744271413250759168, 1/18, O
1744271413250759168, 1744271413250945792, 1/18, O
1744271413250945792, 1744271413251132672, 1/19, O
1744271413251132672, 1744271413251319552, 1/18, O
1744271413251319552, 1744271413251506688, 1/19, O
1744271413251506688, 1744271413251693568, 1/18, O
1744271413251693568, 1744271413251881216, 1/18, O
1744271413251881216, 1744271413252068096, 1/19, O
1744271413252068096, 1744271413252259072, 1/13, O
1744271413252259072, 1744271413252447744, 1/19, O
1744271413252447744, 1744271413252635904, 1/17, O
1744271413252635904, 1744271413252822528, 1/19, O
1744271413252822528, 1744271413253012992, 1/8, O
1744271413253012992, 1744271413253200128, 1/18, O
1744271413253200128, 1744271413253387008, 1/18, O
1744271413253387008, 1744271413253573376, 1/19, O
1744271413253573376, 1744271413253760512, 1/18, O
1744271413253760512, 1744271413253947648, 1/18, O
1744271413253947648, 1744271413254137344, 1/15, O
1744271413254137344, 1744271413254325248, 1/18, O
1744271413254325248, 1744271413254512640, 1/18, O
1744271413254512640, 1744271413254699776, 1/19, O
1744271413254699776, 1744271413254886400, 1/18, O
1744271413254886400, 1744271413255073536, 1/19, O
1744271413255073536, 1744271413255260672, 1/18, O
1744271413255260672, 1744271413255447552, 1/18, O
1744271413255447552, 1744271413255634688, 1/19, O
